time	label	finDynamicsBlock.rate			finDynamicsBlock.&pFin.angle[0]	finDynamicsBlock.&pFin.angle[1]	finDynamicsBlock.&pFin.angle[2]	engineDynamicsBlock.&p.force[0]	engineDynamicsBlock.&p.force[1]	engineDynamicsBlock.&p.force[2]	engineDynamicsBlock.&p.moment[0]	engineDynamicsBlock.&p.moment[1]	engineDynamicsBlock.&p.moment[2]	engineDynamicsBlock.&p.velocity[0]	engineDynamicsBlock.&p.velocity[1]	engineDynamicsBlock.&p.velocity[2]	engineDynamicsBlock.&p.rate[0]	engineDynamicsBlock.&p.rate[1]	engineDynamicsBlock.&p.rate[2]	engineDynamicsBlock.&p.position[0]	engineDynamicsBlock.&p.position[1]	engineDynamicsBlock.&p.position[2]	engineDynamicsBlock.&p.angle[0]	engineDynamicsBlock.&p.angle[1]	engineDynamicsBlock.&p.angle[2]	bodyDynamicsBlock.&p.force[0]	bodyDynamicsBlock.&p.force[1]	bodyDynamicsBlock.&p.force[2]	bodyDynamicsBlock.&p.moment[0]	bodyDynamicsBlock.&p.moment[1]	bodyDynamicsBlock.&p.moment[2]	bodyDynamicsBlock.&p.velocity[0]	bodyDynamicsBlock.&p.velocity[1]	bodyDynamicsBlock.&p.velocity[2]	bodyDynamicsBlock.&p.rate[0]	bodyDynamicsBlock.&p.rate[1]	bodyDynamicsBlock.&p.rate[2]	bodyDynamicsBlock.&p.position[0]	bodyDynamicsBlock.&p.position[1]	bodyDynamicsBlock.&p.position[2]	bodyDynamicsBlock.&p.angle[0]	bodyDynamicsBlock.&p.angle[1]	bodyDynamicsBlock.&p.angle[2]	atmosphereBlock.&pAtmo.airDensity[0]	atmosphereBlock.&pAtmo.speedOfSound[0]	atmosphereBlock.&ph.height[0]	aeroFrameBlock.&p.force[0]	aeroFrameBlock.&p.force[1]	aeroFrameBlock.&p.force[2]	aeroFrameBlock.&p.moment[0]	aeroFrameBlock.&p.moment[1]	aeroFrameBlock.&p.moment[2]	aeroFrameBlock.&p.velocity[0]	aeroFrameBlock.&p.velocity[1]	aeroFrameBlock.&p.velocity[2]	aeroFrameBlock.&p.rate[0]	aeroFrameBlock.&p.rate[1]	aeroFrameBlock.&p.rate[2]	aeroFrameBlock.&p.position[0]	aeroFrameBlock.&p.position[1]	aeroFrameBlock.&p.position[2]	aeroFrameBlock.&p.angle[0]	aeroFrameBlock.&p.angle[1]	aeroFrameBlock.&p.angle[2]	aeroFrameBlock.&ph.height[0]	aeroDynamicsBlock.Cx_alpha	aeroDynamicsBlock.Cz_alpha	aeroDynamicsBlock.Cm_alpha	aeroDynamicsBlock.AoA	aeroDynamicsBlock.SSA	aeroDynamicsBlock.V	aeroDynamicsBlock.Mach	aeroDynamicsBlock.&p.force[0]	aeroDynamicsBlock.&p.force[1]	aeroDynamicsBlock.&p.force[2]	aeroDynamicsBlock.&p.moment[0]	aeroDynamicsBlock.&p.moment[1]	aeroDynamicsBlock.&p.moment[2]	aeroDynamicsBlock.&p.velocity[0]	aeroDynamicsBlock.&p.velocity[1]	aeroDynamicsBlock.&p.velocity[2]	aeroDynamicsBlock.&p.rate[0]	aeroDynamicsBlock.&p.rate[1]	aeroDynamicsBlock.&p.rate[2]	aeroDynamicsBlock.&p.position[0]	aeroDynamicsBlock.&p.position[1]	aeroDynamicsBlock.&p.position[2]	aeroDynamicsBlock.&p.angle[0]	aeroDynamicsBlock.&p.angle[1]	aeroDynamicsBlock.&p.angle[2]	aeroDynamicsBlock.&pAtmosphere.airDensity[0]	aeroDynamicsBlock.&pAtmosphere.speedOfSound[0]	aeroDynamicsBlock.&pFin.angle[0]	aeroDynamicsBlock.&pFin.angle[1]	aeroDynamicsBlock.&pFin.angle[2]	
0.01	tick	-0.924136	-0.527207	-0.013583	0	-0.00360816	0	10000	0	0	0	0	0	984.227	0	0.102988	0	0.00179427	0	9.84113	0	-3048	0	3.73706e-006	0	-4625.9	0	-2109.11	0	-162.99	0	984.227	0	0.102988	0	0.00179427	0	9.84113	0	-3048	0	3.73706e-006	0	0.904775	328.863	-3048	-0.00747958	0	2001.46	0	0	0	984.227	0	0.102988	0	0.00179427	0	9.84113	0	-3048	0	3.73706e-006	0	-3048	-0.3	-0.00101958	0.000299201	0.000104638	0	984.227	2.99281	-5374.09	0	107.649	0	162.99	0	984.227	0	0.102988	0	0.00179427	0	9.84113	0	-3048	0	3.73706e-006	0	0.904775	328.863	0	-0.00360816	0	
0.011	tick	-1.03511	-0.528193	-0.0142331	0	-0.00459409	0	10000	0	0	0	0	0	984.249	0	0.11552	0	0.00253767	0	10.8254	0	-3048	0	5.88838e-006	0	-4625.65	0	-2141.3	0	-205.569	0	984.249	0	0.11552	0	0.00253767	0	10.8254	0	-3048	0	5.88838e-006	0	0.904775	328.863	-3048	-0.0117854	0	2001.46	0	0	0	984.249	0	0.11552	0	0.00253767	0	10.8254	0	-3048	0	5.88838e-006	0	-3048	-0.3	-0.00114365	0.00033557	0.000117369	0	984.249	2.99288	-5374.34	0	139.838	0	205.569	0	984.249	0	0.11552	0	0.00253767	0	10.8254	0	-3048	0	5.88838e-006	0	0.904775	328.863	0	-0.00459409	0	
0.012	tick	-1.13406	-0.529286	-0.0146302	0	-0.0056875	0	10000	0	0	0	0	0	984.272	0	0.129038	0	0.00346153	0	11.8096	0	-3048	0	8.87152e-006	0	-4625.4	0	-2177.07	0	-252.089	0	984.272	0	0.129038	0	0.00346153	0	11.8096	0	-3048	0	8.87152e-006	0	0.904775	328.863	-3048	-0.017756	0	2001.46	0	0	0	984.272	0	0.129038	0	0.00346153	0	11.8096	0	-3048	0	8.87152e-006	0	-3048	-0.3	-0.00127748	0.000374785	0.0001311	0	984.272	2.99295	-5374.59	0	175.607	0	252.089	0	984.272	0	0.129038	0	0.00346153	0	11.8096	0	-3048	0	8.87152e-006	0	0.904775	328.863	0	-0.0056875	0	
0.013	tick	-1.21941	-0.530475	-0.0148602	0	-0.00687665	0	10000	0	0	0	0	0	984.295	0	0.143744	0	0.00458068	0	12.7939	0	-3048	0	1.28743e-005	0	-4625.14	0	-2215.97	0	-301.88	0	984.295	0	0.143744	0	0.00458068	0	12.7939	0	-3048	0	1.28743e-005	0	0.904775	328.863	-3048	-0.0257675	0	2001.46	0	0	0	984.295	0	0.143744	0	0.00458068	0	12.7939	0	-3048	0	1.28743e-005	0	-3048	-0.3	-0.00142306	0.000417425	0.000146037	0	984.295	2.99302	-5374.83	0	214.51	0	301.88	0	984.295	0	0.143744	0	0.00458068	0	12.7939	0	-3048	0	1.28743e-005	0	0.904775	328.863	0	-0.00687665	0	
0.014	tick	-1.29103	-0.531747	-0.0149581	0	-0.00814821	0	10000	0	0	0	0	0	984.317	0	0.159849	0	0.005907	0	13.7782	0	-3048	0	1.80983e-005	0	-4624.88	0	-2257.51	0	-354.217	0	984.317	0	0.159849	0	0.005907	0	13.7782	0	-3048	0	1.80983e-005	0	0.904775	328.863	-3048	-0.0362231	0	2001.46	0	0	0	984.317	0	0.159849	0	0.005907	0	13.7782	0	-3048	0	1.80983e-005	0	-3048	-0.3	-0.00158251	0.000464101	0.000162396	0	984.317	2.99309	-5375.08	0	256.045	0	354.217	0	984.317	0	0.159849	0	0.005907	0	13.7782	0	-3048	0	1.80983e-005	0	0.904775	328.863	0	-0.00814821	0	
0.015	tick	-1.35051	-0.533087	-0.015004	0	-0.00948831	0	10000	0	0	0	0	0	984.34	0	0.177575	0	0.00744893	0	14.7626	0	-3048	0	2.47557e-005	0	-4624.62	0	-2301.15	0	-408.374	0	984.34	0	0.177575	0	0.00744893	0	14.7626	0	-3048	0	2.47557e-005	0	0.904775	328.863	-3048	-0.0495476	0	2001.46	0	0	0	984.34	0	0.177575	0	0.00744893	0	14.7626	0	-3048	0	2.47557e-005	0	-3048	-0.3	-0.00175802	0.000515443	0.0001804	0	984.34	2.99316	-5375.33	0	299.688	0	408.374	0	984.34	0	0.177575	0	0.00744893	0	14.7626	0	-3048	0	2.47557e-005	0	0.904775	328.863	0	-0.00948831	0	
0.016	tick	-1.40014	-0.534482	-0.0150625	0	-0.0108834	0	10000	0	0	0	0	0	984.363	0	0.197145	0	0.00921177	0	15.7469	0	-3048	0	3.30657e-005	0	-4624.36	0	-2346.39	0	-463.661	0	984.363	0	0.197145	0	0.00921177	0	15.7469	0	-3048	0	3.30657e-005	0	0.904775	328.863	-3048	-0.0661797	0	2001.46	0	0	0	984.363	0	0.197145	0	0.00921177	0	15.7469	0	-3048	0	3.30657e-005	0	-3048	-0.3	-0.0019518	0.000572088	0.000200276	0	984.363	2.99323	-5375.58	0	344.928	0	463.661	0	984.363	0	0.197145	0	0.00921177	0	15.7469	0	-3048	0	3.30657e-005	0	0.904775	328.863	0	-0.0108834	0	
0.017	tick	-1.44128	-0.53592	-0.0151065	0	-0.0123214	0	10000	0	0	0	0	0	984.385	0	0.218785	0	0.0111986	0	16.7313	0	-3048	0	4.32512e-005	0	-4624.09	0	-2392.76	0	-519.472	0	984.385	0	0.218785	0	0.0111986	0	16.7313	0	-3048	0	4.32512e-005	0	0.904776	328.863	-3048	-0.0865657	0	2001.46	0	0	0	984.385	0	0.218785	0	0.0111986	0	16.7313	0	-3048	0	4.32512e-005	0	-3048	-0.3	-0.0021661	0.000634679	0.000222256	0	984.385	2.9933	-5375.82	0	391.3	0	519.472	0	984.385	0	0.218785	0	0.0111986	0	16.7313	0	-3048	0	4.32512e-005	0	0.904776	328.863	0	-0.0123214	0	
0.018	tick	-1.47312	-0.537391	-0.0149912	0	-0.0137922	0	10000	0	0	0	0	0	984.408	0	0.242723	0	0.013411	0	17.7157	0	-3048	0	5.55371e-005	0	-4623.82	0	-2439.88	0	-575.314	0	984.408	0	0.242723	0	0.013411	0	17.7157	0	-3048	0	5.55371e-005	0	0.904776	328.863	-3048	-0.111155	0	2001.46	0	0	0	984.408	0	0.242723	0	0.013411	0	17.7157	0	-3048	0	5.55371e-005	0	-3048	-0.3	-0.00240317	0.000703851	0.000246567	0	984.408	2.99336	-5376.07	0	438.414	0	575.314	0	984.408	0	0.242723	0	0.013411	0	17.7157	0	-3048	0	5.55371e-005	0	0.904776	328.863	0	-0.0137922	0	
0.019	tick	-1.49349	-0.538885	-0.0146251	0	-0.0152865	0	10000	0	0	0	0	0	984.431	0	0.269182	0	0.0158485	0	18.7001	0	-3048	0	7.01484e-005	0	-4623.54	0	-2487.37	0	-630.746	0	984.431	0	0.269182	0	0.0158485	0	18.7001	0	-3048	0	7.01484e-005	0	0.904776	328.863	-3048	-0.140399	0	2001.46	0	0	0	984.431	0	0.269182	0	0.0158485	0	18.7001	0	-3048	0	7.01484e-005	0	-3048	-0.3	-0.00266524	0.000780235	0.000273439	0	984.431	2.99343	-5376.32	0	485.907	0	630.746	0	984.431	0	0.269182	0	0.0158485	0	18.7001	0	-3048	0	7.01484e-005	0	0.904776	328.863	0	-0.0152865	0	
0.02	tick	-1.50054	-0.540393	-0.0140578	0	-0.0167938	0	10000	0	0	0	0	0	984.453	0	0.298384	0	0.0185087	0	19.6845	0	-3048	0	8.73094e-005	0	-4623.26	0	-2534.83	0	-685.273	0	984.453	0	0.298384	0	0.0185087	0	19.6845	0	-3048	0	8.73094e-005	0	0.904776	328.863	-3048	-0.174747	0	2001.46	0	0	0	984.453	0	0.298384	0	0.0185087	0	19.6845	0	-3048	0	8.73094e-005	0	-3048	-0.3	-0.00295453	0.000864448	0.000303096	0	984.453	2.9935	-5376.57	0	533.37	0	685.273	0	984.453	0	0.298384	0	0.0185087	0	19.6845	0	-3048	0	8.73094e-005	0	0.904776	328.863	0	-0.0167938	0	
0.021	tick	-1.49352	-0.5419	-0.0133762	0	-0.0183016	0	10000	0	0	0	0	0	984.476	0	0.330547	0	0.0213868	0	20.669	0	-3048	0	0.000107241	0	-4622.97	0	-2581.79	0	-738.327	0	984.476	0	0.330547	0	0.0213868	0	20.669	0	-3048	0	0.000107241	0	0.904776	328.863	-3048	-0.214639	0	2001.46	0	0	0	984.476	0	0.330547	0	0.0213868	0	20.669	0	-3048	0	0.000107241	0	-3048	-0.3	-0.00327318	0.000957084	0.000335759	0	984.476	2.99357	-5376.82	0	580.327	0	738.327	0	984.476	0	0.330547	0	0.0213868	0	20.669	0	-3048	0	0.000107241	0	0.904776	328.863	0	-0.0183016	0	
0.022	tick	-1.47265	-0.543395	-0.01262	0	-0.0197965	0	10000	0	0	0	0	0	984.499	0	0.36588	0	0.024476	0	21.6535	0	-3048	0	0.000130161	0	-4622.68	0	-2627.73	0	-789.311	0	984.499	0	0.36588	0	0.024476	0	21.6535	0	-3048	0	0.000130161	0	0.904776	328.863	-3048	-0.260511	0	2001.46	0	0	0	984.499	0	0.36588	0	0.024476	0	21.6535	0	-3048	0	0.000130161	0	-3048	-0.3	-0.0036233	0.00105871	0.000371641	0	984.499	2.99364	-5377.06	0	626.273	0	789.311	0	984.499	0	0.36588	0	0.024476	0	21.6535	0	-3048	0	0.000130161	0	0.904776	328.863	0	-0.0197965	0	
0.023	tick	-1.43906	-0.544864	-0.0118077	0	-0.0212652	0	10000	0	0	0	0	0	984.521	0	0.404582	0	0.0277669	0	22.638	0	-3048	0	0.000156276	0	-4622.38	0	-2672.17	0	-837.654	0	984.521	0	0.404582	0	0.0277669	0	22.638	0	-3048	0	0.000156276	0	0.904776	328.863	-3048	-0.312781	0	2001.46	0	0	0	984.521	0	0.404582	0	0.0277669	0	22.638	0	-3048	0	0.000156276	0	-3048	-0.3	-0.00400689	0.00116987	0.000410943	0	984.521	2.99371	-5377.31	0	670.71	0	837.654	0	984.521	0	0.404582	0	0.0277669	0	22.638	0	-3048	0	0.000156276	0	0.904776	328.863	0	-0.0212652	0	
0.024	tick	-1.39438	-0.546294	-0.0109615	0	-0.0226955	0	10000	0	0	0	0	0	984.544	0	0.446841	0	0.0312476	0	23.6225	0	-3048	0	0.000185786	0	-4622.07	0	-2714.64	0	-882.849	0	984.544	0	0.446841	0	0.0312476	0	23.6225	0	-3048	0	0.000185786	0	0.904776	328.863	-3048	-0.371844	0	2001.46	0	0	0	984.544	0	0.446841	0	0.0312476	0	23.6225	0	-3048	0	0.000185786	0	-3048	-0.3	-0.00442581	0.00129104	0.000453856	0	984.544	2.99378	-5377.56	0	713.177	0	882.849	0	984.544	0	0.446841	0	0.0312476	0	23.6225	0	-3048	0	0.000185786	0	0.904776	328.863	0	-0.0226955	0	
0.025	tick	-1.34055	-0.547675	-0.0101007	0	-0.0240767	0	10000	0	0	0	0	0	984.567	0	0.492826	0	0.0349039	0	24.6071	0	-3048	0	0.000218873	0	-4621.76	0	-2754.73	0	-924.478	0	984.567	0	0.492826	0	0.0349039	0	24.6071	0	-3048	0	0.000218873	0	0.904776	328.863	-3048	-0.438067	0	2001.46	0	0	0	984.567	0	0.492826	0	0.0349039	0	24.6071	0	-3048	0	0.000218873	0	-3048	-0.3	-0.00488177	0.00142265	0.000500551	0	984.567	2.99385	-5377.81	0	753.27	0	924.478	0	984.567	0	0.492826	0	0.0349039	0	24.6071	0	-3048	0	0.000218873	0	0.904776	328.863	0	-0.0240767	0	
0.026	tick	-1.27941	-0.548999	-0.00923769	0	-0.0253998	0	10000	0	0	0	0	0	984.589	0	0.542686	0	0.0387202	0	25.5917	0	-3048	0	0.000255703	0	-4621.43	0	-2792.11	0	-962.217	0	984.589	0	0.542686	0	0.0387202	0	25.5917	0	-3048	0	0.000255703	0	0.904776	328.863	-3048	-0.511781	0	2001.46	0	0	0	984.589	0	0.542686	0	0.0387202	0	25.5917	0	-3048	0	0.000255703	0	-3048	-0.3	-0.00537628	0.00156506	0.00055118	0	984.589	2.99392	-5378.05	0	790.645	0	962.217	0	984.589	0	0.542686	0	0.0387202	0	25.5917	0	-3048	0	0.000255703	0	0.904776	328.863	0	-0.0253998	0	
0.027	tick	-1.21236	-0.550256	-0.00837426	0	-0.0266572	0	10000	0	0	0	0	0	984.612	0	0.596554	0	0.0426799	0	26.5763	0	-3048	0	0.000296425	0	-4621.11	0	-2826.48	0	-995.817	0	984.612	0	0.596554	0	0.0426799	0	26.5763	0	-3048	0	0.000296425	0	0.904776	328.863	-3048	-0.593283	0	2001.46	0	0	0	984.612	0	0.596554	0	0.0426799	0	26.5763	0	-3048	0	0.000296425	0	-3048	-0.3	-0.0059107	0.00171857	0.000605877	0	984.612	2.99398	-5378.3	0	825.014	0	995.817	0	984.612	0	0.596554	0	0.0426799	0	26.5763	0	-3048	0	0.000296425	0	0.904776	328.863	0	-0.0266572	0	
